Day,Time,Transformed
1,24.828,28
1,24.826,26
1,24.833,33
1,24.824,24
1,24.834,34
1,24.756,-44
1,24.827,27
1,24.816,16
1,24.84,40
1,24.798,-2
1,24.829,29
1,24.822,22
1,24.824,24
1,24.821,21
1,24.825,25
1,24.83,30
1,24.823,23
1,24.829,29
1,24.831,31
1,24.819,19
2,24.824,24
2,24.82,20
2,24.836,36
2,24.832,32
2,24.836,36
2,24.828,28
2,24.825,25
2,24.821,21
2,24.828,28
2,24.829,29
2,24.837,37
2,24.825,25
2,24.828,28
2,24.826,26
2,24.83,30
2,24.832,32
2,24.836,36
2,24.826,26
2,24.83,30
2,24.822,22
3,24.836,36
3,24.823,23
3,24.827,27
3,24.827,27
3,24.828,28
3,24.827,27
3,24.831,31
3,24.827,27
3,24.826,26
3,24.833,33
3,24.826,26
3,24.832,32
3,24.832,32
3,24.824,24
3,24.839,39
3,24.828,28
3,24.824,24
3,24.825,25
3,24.832,32
3,24.825,25
3,24.829,29
3,24.827,27
3,24.828,28
3,24.829,29
3,24.816,16
3,24.823,23
